,,,,Monthly Tracker,,,,,,,,
Client,Date,Total Appointments,,Client,Start Month,End Month,Total Appts (Goal is at least 20 per),,,,,
Bamboo Leaf (Paused),9/2/2024,0,,Bamboo Leaf,9/1/2024,9/30/2024,0,,,,,
Crown Hair Institute,1/2/2025,0,,Crown Hair Institute,2/1/2025,2/28/2025,3,"sticker shock with price after promo, saturday requests, virtual appts",,,,
Healing Waters,12/1/2024,0,,Healing Waters,9/1/2024,9/30/2024,0,,,,,
Just Body Spa,12/1/2024,0,,Just Body Spa,9/1/2024,9/30/2024,0,,,,,
Liquivida Downtown Fort Lauderdale,12/1/2024,0,,Liquivida Downtown Fort Lauderdale,1/1/2025,1/31/2025,0,ends nov 20,,,,
Liquivida San Antonio Skinny Shot,12/1/2024,0,,Liquivida San Antonio Skinny Shot,1/1/2025,1/31/2025,0,,,,,
Liquivida San Antonio Hair,12/1/2024,0,,Liquivida San Antonio Hair,1/1/2025,1/31/2025,0,,,,,
Truesdale Facial Plastic Surgery,1/2/2025,0,,Truesdale Facial Plastic Surgery,2/1/2025,2/28/2025,13,virtual appts,,,,
Truesdale Peel,12/1/2024,0,,Truesdale Peel,2/1/2025,2/28/2025,0,,,,,
My Spa By Sara,12/1/2024,0,,My Spa By Sara,2/1/2025,2/28/2025,0,,,,,
The Science of Beauty,12/1/2024,0,,The Science of Beauty,2/1/2025,2/28/2025,0,,,,,
Your Skin,12/1/2024,0,,Your Skin,2/1/2025,2/28/2025,0,,,,,
I AM Medical Spas,12/1/2024,0,,I AM Medical Spas,2/1/2025,2/28/2025,0,,,,,
Sculpting Away Spa,12/1/2024,0,,Sculpting Away Spa,2/1/2025,2/28/2025,0,,,,,
Sit Tight Wellness,12/1/2024,0,,Sit Tight Wellness,2/1/2025,2/28/2025,0,,,,,
Bel0 Cryo,12/1/2024,0,,Bel0 Cryo,2/1/2025,2/28/2025,0,,,,,
Evolve Cryo + Wellness,12/1/2024,0,,Evolve Cryo + Wellness,2/1/2025,2/28/2025,0,,,,,
Liquivida Phoenix,1/2/2025,0,,Liquivida Phoenix,2/1/2025,2/28/2025,0,,,,,
EVOLUTIONS MEDSPA,1/2/2025,0,,EVOLUTIONS MEDSPA,2/1/2025,2/28/2025,7,not enough leads,,,,
Aurora Medical Tampa,12/1/2024,0,,Aurora Medical Tampa,2/1/2025,2/28/2025,#N/A,,,,,
Luxe Wellness & Aesthetics,1/2/2025,2,,Luxe Wellness & Aesthetics,2/1/2025,2/28/2025,7,continue lipo b12?,,,,
Cryo850,12/1/2024,0,,Cryo850,2/1/2025,2/28/2025,0,Paused,,,,
Reenae's Healthy Choices,1/2/2025,0,,Reenae's Healthy Choices,2/1/2025,2/28/2025,6,"low answer rate, get link but dont book, low leads",,,,
Better Body Wellness,1/2/2025,0,,Better Body Wellness,12/19/2024,2/28/2025,4,trial 90 minimum by 03/19/25,,200 Manager,25 Agent,"location, need more leads"
NY Medical Weight Loss,1/16/2025,,,NY Medical Weight Loss,1/23/2025,2/23/2025,8,need more time,,,,